iter	Passed	Remaining
455	847	1010
456	848	1007
457	849	1005
458	851	1003
459	852	1000
460	853	998
461	855	995
462	856	993
463	857	991
464	859	989
465	860	986
466	862	984
467	863	982
468	865	979
469	866	977
470	868	974
471	869	972
472	870	969
473	871	967
474	873	965
475	874	963
476	876	960
477	877	958
478	879	956
479	880	953
480	882	951
481	883	949
482	884	947
483	886	945
484	888	943
485	889	941
486	891	939
487	893	937
488	894	935
489	896	932
490	897	930
491	899	928
492	900	926
493	902	924
494	903	921
495	905	919
496	906	917
497	908	915
498	909	913
499	911	911
500	912	908
501	914	907
502	916	905
503	917	903
504	919	901
505	920	898
506	922	896
507	923	894
508	925	892
509	926	890
510	928	888
511	929	886
512	931	884
513	932	881
514	934	879
515	935	877
516	937	875
517	938	873
518	940	871
519	941	869
520	943	867
521	945	865
522	946	863
523	948	861
524	949	859
525	950	856
526	952	855
527	954	853
528	955	851
529	957	849
530	958	846
531	960	844
532	961	842
533	962	840
534	964	838
535	965	835
536	967	834
537	968	831
538	970	829
539	971	827
540	972	825
541	973	822
542	975	820
543	976	818
544	978	816
545	979	814
546	980	812
547	982	810
548	983	808
549	985	806
550	986	804
551	988	801
552	989	799
553	990	797
554	992	795
555	993	793
556	995	791
557	996	789
558	998	787
559	999	785
560	1000	783
561	1002	781
562	1003	779
563	1004	776
564	1006	774
565	1007	772
566	1009	770
567	1010	768
568	1011	766
569	1013	764
570	1014	762
571	1016	760
572	1017	758
573	1019	756
574	1020	754
575	1021	752
576	1023	750
577	1024	748
578	1026	746
579	1028	744
580	1029	742
581	1030	740
582	1032	738
583	1033	736
584	1035	734
585	1036	732
586	1038	730
587	1039	728
588	1041	726
589	1043	724
590	1044	722
591	1046	720
592	1047	718
593	1049	717
594	1050	715
595	1052	713
596	1053	711
597	1054	709
598	1056	707
599	1057	705
600	1059	703
601	1060	701
602	1062	699
603	1064	697
604	1065	695
605	1067	694
606	1069	692
607	1071	690
608	1072	688
609	1074	686
610	1076	685
611	1077	683
612	1079	681
613	1080	679
614	1082	677
615	1084	675
616	1085	674
617	1087	672
618	1089	670
619	1090	668
620	1092	666
621	1093	664
622	1095	662
623	1096	660
624	1098	659
625	1100	657
626	1101	655
627	1103	653
628	1105	652
629	1107	650
630	1108	648
631	1110	646
632	1112	644
633	1114	643
634	1115	641
635	1117	639
636	1119	637
637	1121	636
638	1122	634
639	1124	632
640	1126	630
641	1127	629
642	1129	627
643	1131	625
644	1133	623
645	1134	621
646	1136	620
647	1138	618
648	1140	616
649	1142	614
650	1144	613
651	1145	611
652	1147	609
653	1149	607
654	1150	606
655	1152	604
656	1153	602
657	1155	600
658	1157	599
659	1159	597
660	1161	595
661	1162	593
662	1164	591
663	1165	590
664	1167	588
665	1169	586
666	1171	584
667	1173	583
668	1174	581
669	1176	579
670	1178	577
671	1179	575
672	1181	573
673	1182	572
674	1184	570
675	1186	568
676	1188	566
677	1189	565
678	1191	563
679	1192	561
680	1194	559
681	1195	557
682	1197	555
683	1199	553
684	1200	552
685	1202	550
686	1203	548
687	1205	546
688	1207	544
689	1208	543
690	1210	541
691	1211	539
692	1213	537
693	1215	535
694	1216	533
695	1218	532
696	1219	530
697	1221	528
698	1222	526
699	1224	524
700	1226	523
701	1227	521
702	1229	519
703	1230	517
704	1232	515
705	1233	513
706	1235	511
707	1236	510
708	1237	508
709	1239	506
710	1241	504
711	1242	502
712	1244	500
713	1245	499
714	1247	497
715	1249	495
716	1251	493
717	1252	492
718	1254	490
719	1256	488
720	1257	486
721	1259	485
722	1261	483
723	1263	481
724	1264	479
725	1266	478
726	1268	476
727	1269	474
728	1271	472
729	1273	470
730	1274	469
731	1276	467
732	1277	465
733	1279	463
734	1281	461
735	1282	460
736	1284	458
737	1286	456
738	1287	454
739	1289	452
740	1290	451
741	1292	449
742	1294	447
743	1296	445
744	1297	444
745	1299	442
746	1301	440
747	1302	438
748	1304	437
749	1307	435
750	1309	434
751	1310	432
752	1312	430
753	1314	428
754	1316	427
755	1318	425
756	1320	423
757	1322	422
758	1324	420
759	1326	418
760	1328	417
761	1330	415
762	1332	413
763	1333	412
764	1337	410
765	1339	409
766	1341	407
767	1343	405
768	1345	404
769	1346	402
770	1348	400
771	1350	398
772	1351	396
773	1353	395
774	1355	393
775	1356	391
776	1358	389
777	1360	388
778	1363	386
779	1366	385
780	1367	383
781	1369	381
782	1371	380
783	1373	378
784	1375	376
785	1377	374
786	1379	373
787	1381	371
788	1383	370
789	1385	368
790	1387	366
791	1390	365
792	1392	363
793	1394	361
794	1397	360
795	1399	358
796	1401	356
797	1403	355
798	1405	353
799	1407	351
800	1409	350
801	1412	348
802	1414	347
803	1416	345
804	1418	343
805	1420	341
806	1422	340
807	1424	338
808	1426	336
809	1428	335
810	1430	333
811	1432	331
812	1434	329
813	1435	328
814	1437	326
815	1439	324
816	1441	322
817	1442	320
818	1444	319
819	1445	317
820	1447	315
821	1449	313
822	1451	312
823	1452	310
824	1454	308
825	1456	306
826	1458	305
827	1460	303
828	1461	301
829	1463	299
830	1466	298
831	1467	296
832	1469	294
833	1471	292
834	1473	291
835	1475	289
836	1476	287
837	1478	285
838	1480	284
839	1482	282
840	1484	280
841	1487	279
842	1488	277
843	1490	275
844	1492	273
845	1494	272
846	1496	270
847	1498	268
848	1500	266
849	1501	265
850	1503	263
851	1504	261
852	1506	259
853	1508	257
854	1509	256
855	1511	254
856	1513	252
857	1514	250
858	1516	248
859	1518	247
860	1519	245
861	1520	243
862	1522	241
863	1523	239
864	1525	238
865	1526	236
866	1527	234
867	1529	232
868	1530	230
869	1532	228
870	1533	227
871	1535	225
872	1536	223
873	1537	221
874	1539	219
875	1540	218
876	1542	216
877	1543	214
878	1544	212
879	1546	210
880	1547	209
881	1549	207
882	1550	205
883	1552	203
884	1553	201
885	1555	200
886	1556	198
887	1558	196
888	1560	194
889	1562	193
890	1564	191
891	1566	189
892	1567	187
893	1569	186
894	1571	184
895	1573	182
896	1575	180
897	1577	179
898	1579	177
899	1580	175
900	1582	173
901	1584	172
902	1586	170
903	1587	168
904	1589	166
905	1591	165
906	1593	163
907	1594	161
908	1596	159
